date,text,stars
12/3/2023,"years ago had a man try to convince me four inches were actually six inches. just as zinnus spa sensations tries very hard to convince consumers this mattress is six inches, see photo if Walmart will show it that shows that after 48hrs the mattress was only four inches not the six inches promised by zinnus.
having previously purchased a six inch memory foam mattress several years previous that was a dream to sleep on. 
after zinnus took over materials changed to the detriment of customers backs. 
do not know if because it never expanded to its full height but it was extremely uncomfortable to sit on, let alone actually sleeping on it for any length of time. 
the green tea infused 1.5 section is quiet a joke playing at customer expense. vast...",1 out of 5 stars review
11/8/2023,"The mattress did not expand to fully to 6"" even after 1 week after opening it. The zipper at the bottom ripped within 3 days. We could't zip it back because the edges were stitched. When we tried to return the mattress, the Fedex person refused to accept it because it is considered oversized.
Therefore, it is not a good product and Walmart's return process was not smooth in this case.",1 out of 5 stars review
1/11/2024,"The mattress was delivered as a big ball of plastic. No box, no protection, with cuts in plastic, dirty and dragged all around. 

Informed Walmart, all they could do was get us a $25 credit for bad service",1 out of 5 stars review
10/16/2022,"terrible and toxic, cancer causing mattress.  There was no warning label at the time I purchased the matresses.  I noticed swelling under my eyes and started getting headaches and seemed to be allergies and upon reading the specifications of this material this is a side effect of it.  I also wanted to wash the cover and went on the website to check for instructions, i read some reviews and it said it was a toxic matress and you couldn't wash the cover because you would be exposed to more toxic chemicals.  i called Walmart with my concern and since it had a 10 year warranty i called right away for help.  They gave me the phone number and email to the manufacturer and said if i didnt get a response they would help me.  Well i didnt get a resp...",1 out of 5 stars review
12/12/2013,"I recently moved and didn't have a bed. I spent a week sleeping on an air mattress waiting for this mattress to be delivered. It finally arrives at Walmart and I have to pull a favor from a friend with a truck to pick up this mattress and the platform bed frame I ordered specifically for this mattress. After about 60 hours of letting the mattress lay out, it is not fully expanded (they recommend 48 hours). It's barely half expanded. The middle is the only portion that is about 10 inches high (this is a 12 inch mattress). The rest of the mattress is about 4-6 inches high. The corners and very ends never expanded at all.

Now I get the opportunity to waste a day off, pull another favor and ask my friend if I can borrow his truck again on his ...",1 out of 5 stars review
12/15/2013,"After following the instructions and allowing the mattress to expand for over 48 hours, the mattress was uneven and lumpy and never made it to the full 12 inches. Some areas were 4 inches high while others were 6 inches high. Looked nothing like the picture online. Back it goes!!",1 out of 5 stars review
10/21/2022,"This is a 12 inch mattress in that got no larger than a 10 inch mattress mattress is nice and plush however the side edge support is not there it literally collapses if you go with an a foot of it I would definitely check for something different, The mattress literally had the chemical smell it’s been three days now and it’s still here I like the firmness of the mattress because it is soft however the edge support really ruins it if you sit on the edge of the bed it will collapse",1 out of 5 stars review
12/3/2023,"I have a problem with this mattress, it didnt expand evenly. It’s thin at the other end. Very disappointed",1 out of 5 stars review
12/11/2013,The mattress was laid flat for 72 hours but never expanded to full dimensions and was so uneven it could not be slept on. It was returned to the store. The photo attached illustrates the uneven surface.,1 out of 5 stars review
1/9/2024,Idk. This one did not inflate to 6 inches. Only 4 inches.,1 out of 5 stars review
12/12/2013,it could't Regain shape over a night. I returned it.,1 out of 5 stars review
10/2/2023,"It is not a 6 inch mattress, hardly a 5inch, sharing picture after waiting for a week.",1 out of 5 stars review
7/3/2020,Its only 3 inches of Memory Foam not 6.,1 out of 5 stars review
10/17/2022,"I ordered 6"". It is only 4"".  I am disappointed.",1 out of 5 stars review
