date,text,stars
7/7/2023,Came last night and set up was easy. At first it worked and was a lovely picture but this morning nope! Smartcast Home not available. Which means the tv won't work! What's the deal with this???? It's been almost an hour and nothing!!,2 out of 5 stars review
3/19/2023,"Sold me the completely wrong TV. And it's broken/useless. 

Ordered the Vizio Smart TV 65” new, and got a USED, BROKEN, DIRTY, TCL missing the power cord and the remote, all inside of a Vizio box.

 Of course I did not know this was the product I had ordered. Now I have to deal with a broken, incorrect, unusable TV just sitting around. 

It was delivered to me as after I ordered it for pickup; then they said pickup wasn't available; then I thought everything was fine after it was delivered - until I opened it up and was about to start mounting it. 

Never buying from Walmart again…",2 out of 5 stars review
3/23/2023,Very disappointed in this TV. Sound is terrible. Need to turn volume high to hear it and then it’s such a tinny sound it’s difficult to listen to. Would not recommend. Not sure if company would replace but hope they do. I’ve always bought Vizio before.,2 out of 5 stars review
4/9/2023,"I have had this for almost 1 year and the screen is now flickering on the bottom half. Until this, I havent had any major issues, just small inconveniences such as having ro reconnect to internet and a reset once. I have contacted Vizio regarding screen issue and waiting on a response as its still a few days before warranty expires. I would ezpect a tv to last a lot longer than a year before issues develop.",2 out of 5 stars review
6/3/2023,"i’ve been having an issue with the screen going all black it doesn’t happen often but enough and now I’m having an issue where there’s some words from the close caption, stuck on my screen even though I have close caption off and the TV has been off for over six hours and it’s still there.",2 out of 5 stars review
3/29/2023,"My item was delivered with the box damaged and the potential of the item being damaged as well. The store associates were aware of the box being damaged. Instead of retrieving the item without the box being damaged, made the decision to have the item delivered to the customer knowing that the item maybe damaged.",2 out of 5 stars review
1/11/2024,"I'm so disappointed and frustrated, my order was messed up. I order a 65 in Vizio smart Tv and they shipped me a 50 in onn Roku tv instead. This makes the Third time I order a tv. First I ordered a 75in they shipped it broken. The second time I ordered the same tv they shipped it broken and now this.",2 out of 5 stars review
11/13/2023,I liked how it looked but when you put it on the sound it’s to low and bought this for my mom that she’s 84 because the one that she had sound bad but louder than this one that it’s new 😒😒 I don’t really like it… I think 🤔 I’m just going to take it back to the store for change it for another brand or model…,2 out of 5 stars review
8/4/2023,"right out of the box the remote would only turn the TV on/off.
the screen was loose from the corner of the bezel.
RETURNED!",2 out of 5 stars review
4/22/2023,I really don’t like that it doesn’t allow you to search on a browser. I wish it was easier to connect to. It isn’t ideal and I would like to return it for a refund or credit towards another tv.  The glare is horrible.,2 out of 5 stars review
7/14/2023,"The picture on this TV is terrible. I don't know if it's just the unit I received or them all. Everything looks grainy, there is also trails of every image on the screen. I will be returning it for something else.",2 out of 5 stars review
2/1/2022,SmartCasting only to buy other App with some free TV. It's not smart if you try to use HDMI 2 of HDMI 3. Problems with the HDMI 1 cable to your Xfinity TV hard wired network and or with the RJ-45 network cable from the Smart TV to Xfinity Modem wireless or not .,2 out of 5 stars review
12/28/2022,"When I received the tv it worked great, but within in a month it started having the screen have color large color lines and now I can even watch at all. Disappointed, what like t trade . Please",2 out of 5 stars review
6/7/2023,"The tv was supposed to be delivered on a Saturday but wasn't shipped until Monday and delivered on a Tuesday. As you can see in the pictures, it arrived with a broken screen. The box it came in wasn't properly secured for shipment so I'm not surprised. Waiting for FedEx to pick it up. Things happen.",2 out of 5 stars review
9/7/2023,"1.Messes up with the Wifi a lot and have to unplug and plug back up (reset) the TV. 
2.The remote stops working on it a lot and have to rest the TV.",2 out of 5 stars review
6/30/2023,"I was happy the item arrived early however the Tav keeps
Losing connection to the internet and is not able to reconnect. Also the box was opened when it arrived",2 out of 5 stars review
